commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package stream - class ZSink - method splitWhere,8.0,11.0,43.0,43.0,0.0,0.0,68.0,24.0,18.0,6.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method splitWhere - method splitter,7.0,5.0,27.0,27.0,0.0,0.0,44.0,16.0,12.0,4.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method summarized,1.0,0.0,16.0,16.0,0.0,0.0,19.0,9.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method toChannel,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method zip,1.0,0.0,8.0,7.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipLeft,1.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipPar,1.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipParLeft,1.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipParRight,1.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipRight,1.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipWith,1.0,0.0,4.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - class ZSink - method zipWithPar,9.0,10.0,21.0,21.0,0.0,0.0,25.0,7.0,32.0,8.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAll,1.0,0.0,9.0,9.0,0.0,0.0,9.0,6.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method collectAll - method loop,1.0,0.0,6.0,6.0,0.0,0.0,7.0,5.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllN,4.0,5.0,17.0,17.0,0.0,0.0,26.0,14.0,6.0,2.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllN - method collectAllChunksN,4.0,5.0,14.0,14.0,0.0,0.0,22.0,12.0,6.0,2.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllToMap,2.0,0.0,14.0,13.0,1.0,0.07142857142857142,11.0,8.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllToMapN,3.0,0.0,8.0,8.0,0.0,0.0,12.0,7.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllToMapValue,2.0,0.0,14.0,13.0,1.0,0.07142857142857142,13.0,8.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllToMapValueN,3.0,0.0,8.0,8.0,0.0,0.0,14.0,7.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllToSet,1.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,-0.0,1.0
HEAD,1,package stream - object ZSink - method collectAllToSetN,2.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllUntil,3.0,6.0,8.0,8.0,0.0,0.0,15.0,7.0,14.0,3.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllUntilZIO,3.0,9.0,8.0,8.0,0.0,0.0,17.0,8.0,14.0,3.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllWhile,3.0,5.0,15.0,15.0,0.0,0.0,19.0,11.0,6.0,2.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllWhile - method channel,3.0,5.0,10.0,10.0,0.0,0.0,17.0,10.0,6.0,2.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllWhileZIO,2.0,0.0,17.0,17.0,0.0,0.0,23.0,12.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllWhileZIO - method channel,2.0,0.0,12.0,12.0,0.0,0.0,21.0,11.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method count,1.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,1.0
HEAD,1,package stream - object ZSink - method die,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method dieMessage,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method drain,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method dropUntil,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method dropUntilZIO,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method dropWhile,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
