commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package http4s - package headers - trait Access-Control-Max-Age,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Access-Control-Max-Age,32.0,5.0,33.0,0.0,0.0,46.0,39.0,6.0,0.13333333333333333,0.0,20.0,6.0,1.5,0.0,3.5,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - package headers - object Access-Control-Max-Age - object NoCaching,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Access-Control-Max-Age - class Cache,10.0,2.0,12.0,2.0,1.0,6.0,6.0,1.0,0.14285714285714285,0.0,6.0,2.0,1.0,0.0,1.5,1.5,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - package headers - object Access-Control-Max-Age - object Cache,6.0,2.0,7.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package client - trait EmberClientBuilderPlatform,3.0,1.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package client - trait EmberClientBuilderCompanionPlatform,1.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package fix - object LiteralsSyntaxTests,6.0,0.0,6.0,0.0,0.0,9.0,9.0,1.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - object CurlConverter,20.0,1.0,20.0,0.0,0.0,46.0,45.0,0.0,0.0,0.0,19.0,8.0,1.3333333333333333,0.0,4.833333333333333,2.5,0.0,0.0,-0.0,0.5
HEAD,0,package http4s - package parsing - object Rfc3986,13.0,3.0,16.0,0.0,0.0,101.0,89.0,7.0,0.07291666666666667,0.0,13.0,2.0,1.5,2.5,6.75,2.25,8.0,2.5,-0.0,1.0
