commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,1,package cache - object BaseUrlSupport,36.0,4.0,40.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,30.0,25.0,7.0,15.0,16.0,7.0,26.0,2.0,-0.0,1.0
HEAD,1,package cookie - object AddCookieBuilder,7.0,2.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,1,package cookie - class AddCookieBuilder,24.0,2.0,26.0,3.0,1.0,30.0,28.0,2.0,0.06666666666666667,0.0,8.0,3.0,3.0,6.0,14.0,9.0,3.0,0.0,-0.0,1.0
HEAD,0,package cookie - class AddCookieBuilder - method build - <$anon: io.gatling.core.action.SessionHook with io.gatling.core.action.ExitableAction>,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package builder - object HttpRequestExpressionBuilder,11.0,3.0,14.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,6.0,5.0,0.0,0.0,-0.0,1.0
HEAD,1,package builder - class HttpRequestExpressionBuilder,76.0,3.0,79.0,1.0,5.0,114.0,110.0,2.0,0.017857142857142856,0.0,64.0,26.0,6.0,23.0,23.0,18.0,17.0,5.0,-0.0,1.0
HEAD,0,package engine - object HttpEngine,8.0,11.0,18.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,1,package engine - class HttpEngine,52.0,11.0,62.0,1.0,3.0,131.0,113.0,18.0,0.13740458015267176,0.0,45.0,18.0,5.0,6.0,48.0,25.0,10.0,1.0,-0.0,1.0
HEAD,1,package engine - class HttpEngine - method warmUp - <$anon: io.gatling.http.client.HttpListener>,5.0,0.0,5.0,1.0,3.0,8.0,8.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package protocol - object HttpProtocolBuilder,8.0,6.0,13.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,1,package protocol - class HttpProtocolBuilder,59.0,6.0,65.0,2.0,53.0,182.0,164.0,6.0,0.03529411764705882,0.0,123.0,98.0,6.0,13.0,12.0,10.0,23.0,5.0,-0.0,1.0
HEAD,1,package builder - object HttpRequestExpressionBuilder,17.0,3.0,20.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,12.0,3.0,2.0,5.0,6.0,5.0,5.0,1.0,-0.0,1.0
HEAD,1,package builder - class HttpRequestExpressionBuilder,76.0,3.0,79.0,1.0,5.0,116.0,110.0,3.0,0.02654867256637168,0.0,64.0,25.0,6.0,23.0,23.0,18.0,17.0,5.0,-0.0,1.0
HEAD,0,package builder - object CommonAttributes,5.0,9.0,13.0,1.0,0.0,16.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package builder - class CommonAttributes,8.0,9.0,17.0,2.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package builder - object RequestBuilder,31.0,9.0,40.0,0.0,0.0,37.0,34.0,5.0,0.1282051282051282,2.0,16.0,1.0,1.0,0.0,12.0,7.0,0.0,0.0,-0.0,0.0
